"","AT1G26600","AT2G17950"
"GSM253153.CEL",4.78665055734008,4.06962586701132
"GSM253154.CEL",4.91089119376911,4.15213812110932
"GSM253155.CEL",4.61225519827648,4.15476640948232
"GSM253156.CEL",4.56037804816467,4.45709412676275
"GSM253157.CEL",4.43398285241038,4.03179441426592
"GSM253158.CEL",4.47815834920338,4.07871977043084
"GSM253159.CEL",4.57742929643525,4.08298607647644
"GSM253160.CEL",4.60187131355049,4.18289008973031
"GSM253161.CEL",4.59549879010856,4.0006476710465
"GSM253162.CEL",4.62041348908607,4.21748340667048
"GSM253163.CEL",4.54071816463568,4.10892011331132
"GSM253164.CEL",4.3558480332378,4.35455142395825
"GSM253165.CEL",4.3208064962194,4.11975062509295
"GSM253166.CEL",4.34410649974101,4.18824859161207
"GSM253193.CEL",4.37284695675801,6.43232648374709
"GSM253194.CEL",4.20709696637903,6.08447149225631
"GSM253195.CEL",5.45665456014251,5.82270493212995
"GSM253196.CEL",4.65262172372715,5.93350671665997
"GSM253197.CEL",5.33782442236459,5.44661416479698
"GSM253198.CEL",4.71944064124768,4.93066442940131
"GSM253199.CEL",5.14220648978133,7.4925621403249
"GSM253200.CEL",5.20458004460944,6.88352545012221
"GSM253201.CEL",5.08979777054734,7.18994926699101
"GSM253645.CEL",4.61711389170335,6.43057936332998
"GSM253646.CEL",4.52294443203024,6.72982314704929
"GSM253647.CEL",4.8144114746456,6.6773222002829
"GSM253648.CEL",4.94420391226378,6.70010407837527
"GSM253649.CEL",4.91119830390346,6.74055635978233
"GSM253650.CEL",5.1670918614249,7.05381401457726
"GSM253651.CEL",5.07656369548314,6.8171694155665
"GSM253652.CEL",5.01683851174286,7.02330921898637
"GSM257998.CEL",4.51080385579826,4.66923403321715
"GSM258000.CEL",4.84859321332036,5.13894611374208
"GSM258001.CEL",4.33358658169444,4.22537973219478
"GSM258002.CEL",4.56176969831439,7.38703122826612
"GSM258003.CEL",4.6304056741177,4.73865382653796
"GSM258004.CEL",5.15326391791573,6.51584327478531
"GSM258792.CEL",4.96656850811899,3.86977994744356
"GSM258793.CEL",4.5591999695242,3.61605031383784
"GSM258794.CEL",4.71179654907997,4.03084439198786
"GSM258795.CEL",5.81972536220554,4.09128566293002
"GSM258796.CEL",5.50869868614089,3.92662753970049
"GSM258797.CEL",4.98383627437205,3.8491065408898
"GSM263141.CEL",4.64938400495089,4.12551946225768
"GSM263142.CEL",4.89561240700692,3.78499692408553
"GSM263143.CEL",4.64589089784473,3.84430719572365
"GSM263144.CEL",4.9762600719784,4.05700953627859
"GSM263145.CEL",4.821701097459,3.81639965287425
"GSM263146.CEL",4.88383679145297,3.98158355714307
"GSM263147.CEL",5.07535951821594,3.83209287692889
"GSM263148.CEL",5.10498052726154,3.91841781183741
"GSM263149.CEL",4.735854556637,3.86439003640798
"GSM264761.CEL",4.75323012140857,4.33042406583291
"GSM264762.CEL",4.43567910017062,4.09981409962234
"GSM264763.CEL",4.73996698043539,3.99495117762792
"GSM264764.CEL",5.03308614919825,4.17031363218068
"GSM264765.CEL",4.66503059144639,4.13973089575266
"GSM264766.CEL",4.94969218419225,4.16300230387612
"GSM265411.CEL",3.87715724520213,3.93237538610373
"GSM265412.CEL",3.89447767895852,3.86465981453786
"GSM265413.CEL",3.88989948535022,3.93171618577871
"GSM265414.CEL",3.9253371768488,4.14007815418004
"GSM265415.CEL",4.13616881213331,4.01956190402028
"GSM265416.CEL",3.95695760212951,4.01486737972945
"GSM265418.CEL",4.05518359683328,3.85397643944294
"GSM265419.CEL",3.93977579766539,3.80488222698864
"GSM265420.CEL",4.02539233695958,3.88080740702398
"GSM265421.CEL",4.10688771975433,3.90273432413112
"GSM265422.CEL",4.24087252359454,4.21247874572544
"GSM265423.CEL",4.13674688664356,3.88453393830728
"GSM265424.CEL",4.11535723531287,3.8938699353108
"GSM265425.CEL",3.98620179754075,3.93660862954482
"GSM265426.CEL",4.01573575148814,3.85898682829893
"GSM265427.CEL",4.09879993466218,3.97751912631436
"GSM265428.CEL",3.87510622626502,3.75069394278656
"GSM265429.CEL",3.99242859849002,3.93799766315797
"GSM265430.CEL",4.05890558444086,3.9276634168788
"GSM265431.CEL",4.2896345201432,4.01515857686475
"GSM265432.CEL",4.0767373110569,4.20772888877994
"GSM265433.CEL",4.18822777761682,4.08074885982798
"GSM266662.CEL",3.91236548498045,3.85820805428056
"GSM266663.CEL",3.82049494222378,3.9169609104599
"GSM266664.CEL",4.12585113887289,4.0151496513265
"GSM266665.CEL",4.21467330739596,3.97778997423171
"GSM266666.CEL",4.10907288453698,3.91303779226982
"GSM266667.CEL",4.15331603379234,4.15377466312834
"GSM266668.CEL",4.45691211895256,3.87933910937826
"GSM266669.CEL",4.31003954367542,4.14411981316516
"GSM266670.CEL",4.4031621771955,4.06815952944573
"GSM266671.CEL",4.19028855817887,3.98470227982086
"GSM266672.CEL",4.30523032571453,4.35361357780983
"GSM266673.CEL",4.35908572887474,4.26908717533629
"GSM266674.CEL",4.47092207115921,4.22757018376284
"GSM266675.CEL",4.11431102645374,3.97196382326731
"GSM266676.CEL",4.09507203541912,3.94719708346296
"GSM266677.CEL",4.14530535084804,3.78772303300463
"GSM265461.CEL",4.26823576547649,3.86485051258067
"GSM265462.CEL",4.20784099008052,4.47525283670951
"GSM265463.CEL",4.14003872208234,3.87259203274924
"GSM265464.CEL",4.06442394526876,3.81947626040307
"GSM265465.CEL",4.16037167553204,4.16721644800727
"GSM265466.CEL",4.51308314874995,3.8139283259657
"GSM265467.CEL",4.07597019729527,3.97827302168956
"GSM265468.CEL",3.92939345386423,3.5330695551311
"GSM265469.CEL",4.09623016773958,3.85873191028311
"GSM265470.CEL",3.99558496090362,3.94451962884709
"GSM265471.CEL",4.09195864913772,3.71420541330271
"GSM265472.CEL",4.23241943614461,3.86985502895708
"GSM265473.CEL",4.1066675175417,3.70462035411999
"GSM265474.CEL",4.06751139038149,3.76746385930332
"GSM265530.CEL",4.52522883161485,3.9942217220545
"GSM265531.CEL",4.45493338797792,3.65066970658076
"GSM265532.CEL",4.76185482700804,3.97540097557176
"GSM265533.CEL",4.41270663631149,3.77116545545048
"GSM265534.CEL",4.45251313031048,3.95993951945626
"GSM265535.CEL",4.48653077620331,3.93372835330726
"GSM265536.CEL",4.55111778457725,3.71166705073939
"GSM265537.CEL",4.58440240180238,3.95824383698907
"GSM265538.CEL",4.57526451333009,3.74638783753822
"GSM265539.CEL",4.521757040698,3.75254078569826
"GSM10445.CEL",4.8062498082912,4.09508357751707
"GSM10446.CEL",4.61586561098014,4.5868974625355
"GSM10448.CEL",4.26989732987905,4.1619970662013
"GSM10449.CEL",4.85775174617196,4.15979122782798
"GSM10451.CEL",3.89867691270387,4.36891410873028
"GSM10453.CEL",4.14159524492919,4.34792595555586
"GSM10454.CEL",4.81478785482668,4.64048126949558
"GSM10456.CEL",4.30701556066276,4.42104124728696
"GSM10457.CEL",4.82686985988382,4.11643623710604
"GSM10458.CEL",4.8507885551718,3.98512494445831
"GSM10477.CEL",4.31426390403541,4.29772427338295
"GSM10478.CEL",4.31965909891737,4.19200683824902
"GSM10479.CEL",4.22324582201277,4.5564394324202
"GSM10480.CEL",4.16250392503196,4.12662277727793
"GSM10481.CEL",4.019798970686,4.34006802489786
"GSM10482.CEL",4.31762424791098,4.0347895873055
"GSM10483.CEL",4.08001408710736,4.60264298009348
"GSM10484.CEL",4.19778740241641,4.22901844603795
"GSM147965.CEL",5.710178655259,4.42173763479602
"GSM147966.CEL",5.38600932288692,4.23789295443439
"GSM265846.CEL",4.79415124736201,3.9608489091088
"GSM265847.CEL",4.86361396730275,3.9892949861813
"GSM265848.CEL",4.76329374922942,3.90710157066186
"GSM265849.CEL",4.82310201028341,3.95074803277386
"GSM265850.CEL",4.72763047626263,3.97161372291948
"GSM265851.CEL",4.82421960973052,4.09314662043494
"GSM265852.CEL",4.64879877272768,4.0234494643424
"GSM265853.CEL",4.58823110288018,3.89732101944382
"GSM265854.CEL",4.71721290930477,3.98101947560756
"GSM265855.CEL",4.68470701780666,3.91281420089676
"GSM265856.CEL",4.67019473617212,3.82373411459126
"GSM265857.CEL",4.86374102019332,4.12094043340387
"GSM265858.CEL",4.57698713105574,4.08090363337399
"GSM265859.CEL",4.64519578137281,4.01057537353451
"GSM265860.CEL",4.77453367458266,4.14423470530238
"GSM265861.CEL",4.87240551482156,4.05650561768529
"GSM265862.CEL",4.72410433482375,4.06699093733172
"GSM265863.CEL",4.76446176798165,4.04813431834227
"GSM265864.CEL",4.72911147942077,4.08462546317403
"GSM265865.CEL",4.50043210825809,4.1419016713338
"GSM265866.CEL",4.55036106323046,4.04660820664977
"GSM265867.CEL",4.52881183667849,3.96941251187405
"GSM265868.CEL",4.67883526443473,4.16415405520083
"GSM265869.CEL",4.59180800525308,3.97907851205055
"GSM266817.CEL",5.2098415582687,4.04017564448039
"GSM266818.CEL",5.31436623435585,3.95538387194322
"GSM266819.CEL",5.26981562551784,4.06285395914768
"GSM266820.CEL",5.18108497980451,4.18334984466676
"GSM266821.CEL",5.46654215599122,4.02893948705646
"GSM266822.CEL",5.67572378086781,3.91430783059193
"GSM268245.CEL",4.17717389117727,4.50635824609351
"GSM268246.CEL",6.19808620932612,3.98506572449109
"GSM268247.CEL",4.87109186101512,4.12354206907533
"GSM268248.CEL",5.48120358899536,4.01345024152403
"GSM268249.CEL",4.18363094823768,4.0143690680297
"GSM268250.CEL",4.48662527915943,3.77207395134646
"GSM268251.CEL",4.17739546874649,4.01949111097142
"GSM268252.CEL",5.41043166538575,3.86286031901725
"GSM268008.CEL",5.04147587567947,4.2468312742742
"GSM268009.CEL",5.05578682275782,4.27169900224736
"GSM268010.CEL",5.31206588695919,4.06680957987659
"GSM269475.CEL",4.81524083989028,4.17855802562496
"GSM269477.CEL",5.23779697000743,4.1564810728601
"GSM269478.CEL",4.88432709848004,4.05633451522982
"GSM269482.CEL",5.67683453825155,4.03145702998967
"GSM269483.CEL",5.38410711314557,4.07509822215999
"GSM269484.CEL",5.24406489203764,4.18782601500797
"GSM269485.CEL",5.34508711610502,4.18271598641059
"GSM269486.CEL",5.25241063469816,4.03300099703554
"GSM269487.CEL",5.1644478944316,4.13889549371982
"GSM269488.CEL",5.68815067118505,4.19622732985982
"GSM269489.CEL",5.29956622591685,4.03880638328762
"GSM269490.CEL",5.17454607595528,4.21764811866564
"GSM269491.CEL",5.15711913966212,4.14440140512835
"GSM269492.CEL",4.95221268392845,3.98848401959304
"GSM269493.CEL",4.97748181891542,3.98115578269223
"GSM269494.CEL",5.84113636003157,4.33710312280481
"GSM269495.CEL",4.96253905295311,4.11992765364279
"GSM269496.CEL",4.82538233787068,4.07488748724195
"GSM269497.CEL",4.87011645545714,4.0463593876223
"GSM269498.CEL",4.49331294706872,3.95551373317606
"GSM269499.CEL",4.51973873058621,3.9566827755381
"GSM269812.CEL",4.73265187628933,4.01751089417173
"GSM269813.CEL",4.1937327690171,4.0587176693363
"GSM269814.CEL",4.52180220760523,4.18783608671553
"GSM269815.CEL",4.16007771476343,4.14312032703083
"GSM269816.CEL",4.39621714416926,4.17945457295169
"GSM269817.CEL",4.23382595003873,4.04368670858403
"GSM269818.CEL",4.39967113986234,4.15201192058344
"GSM269819.CEL",4.34260501672331,4.06716497889558
"GSM269820.CEL",4.25719162447829,4.06494553009308
"GSM269821.CEL",4.1903605441255,4.3441780027827
"GSM269822.CEL",4.37892036820648,3.91872135198342
"GSM269823.CEL",4.1958172023632,3.89108264091611
"GSM269824.CEL",4.45612370991133,4.27469702328014
"GSM269825.CEL",4.32900873192469,4.02193255813357
"GSM269826.CEL",4.40395519908833,3.87990967705665
"GSM269827.CEL",4.04365437649804,3.79604479929002
"GSM269828.CEL",4.12194460751519,3.98713015629672
"GSM269829.CEL",4.13480080287269,3.96853510267804
"GSM269830.CEL",4.2555865898696,4.18232623040725
"GSM269831.CEL",4.07816905270093,4.04831623517477
"GSM269832.CEL",4.32641780253498,4.00016353107603
"GSM269833.CEL",4.15510634357149,3.95967716062476
"GSM271040.CEL",4.74668148479727,3.60492708973307
"GSM271053.CEL",4.59423362710034,3.78226466587085
"GSM271054.CEL",4.76603570185448,3.73663507060566
"GSM271055.CEL",4.28867196484734,3.66680749651817
"GSM271056.CEL",4.5212985042767,3.78098507663044
"GSM271057.CEL",4.47665739532803,3.54190511304256
