"","AT5G61380","AT1G01060"
"GSM253153.CEL",7.60921319633569,11.8632946167054
"GSM253154.CEL",7.43856920540465,12.1916811187028
"GSM253155.CEL",6.69824645438055,12.3661895965211
"GSM253156.CEL",6.7036210050881,12.3165706326232
"GSM253157.CEL",6.80436665020096,12.1834736218616
"GSM253158.CEL",6.9804928917786,11.4814541455824
"GSM253159.CEL",6.58757887992042,11.4466301269384
"GSM253160.CEL",7.67629775025414,10.5165390252582
"GSM253161.CEL",8.58020236681752,9.27488287569649
"GSM253162.CEL",8.24281419090169,8.82918884905312
"GSM253163.CEL",10.0905301603669,9.48258359209566
"GSM253164.CEL",9.60294150500221,9.51360818536145
"GSM253165.CEL",10.3309745499046,7.85790954443001
"GSM253166.CEL",9.95131973602838,7.38420163430213
"GSM253193.CEL",7.19162559280308,10.3729381840074
"GSM253194.CEL",7.81064263240324,9.75145606807515
"GSM253195.CEL",8.33762933170273,8.22486643317299
"GSM253196.CEL",8.93200572963988,8.43763326471784
"GSM253197.CEL",8.6272283367159,8.68411199970149
"GSM253198.CEL",9.15964668492955,8.95317291478093
"GSM253199.CEL",8.28388249396834,7.60921817260368
"GSM253200.CEL",8.27667419959392,7.22819660400282
"GSM253201.CEL",8.57524705300214,7.53227754686242
"GSM253645.CEL",8.58735007953772,6.79189970219681
"GSM253646.CEL",8.76088969767086,7.03431465326148
"GSM253647.CEL",8.37218905076462,7.60953183041986
"GSM253648.CEL",8.42499399019779,7.35983861731785
"GSM253649.CEL",8.42058268585349,7.45296349723358
"GSM253650.CEL",8.40737356331545,7.53921771994413
"GSM253651.CEL",8.43190272106787,7.6505211175342
"GSM253652.CEL",8.46519855921246,7.38752439896808
"GSM257998.CEL",7.8932101927647,6.5925839984339
"GSM258000.CEL",8.14967100450422,7.72409470359385
"GSM258001.CEL",7.26139302771732,7.24623287020838
"GSM258002.CEL",7.67881413697092,7.24764716041428
"GSM258003.CEL",7.77711888456807,7.59014262453265
"GSM258004.CEL",7.75246663524011,7.47830109019458
"GSM258792.CEL",7.8421740734749,10.2469914992517
"GSM258793.CEL",8.09348072090703,8.34127501939677
"GSM258794.CEL",8.73896247211092,6.12904096921315
"GSM258795.CEL",8.24204256738634,10.1327674233447
"GSM258796.CEL",8.83825315685987,8.18774483617845
"GSM258797.CEL",8.84140064642632,6.43100630203898
"GSM263141.CEL",7.69857353094535,9.78319639743188
"GSM263142.CEL",7.47483270296017,9.63405822844486
"GSM263143.CEL",7.47619613583511,9.17079205882028
"GSM263144.CEL",7.61688852646889,9.32108738705211
"GSM263145.CEL",7.66435648273165,9.10566955094513
"GSM263146.CEL",7.66307965173478,9.01966560156755
"GSM263147.CEL",7.78624898982974,9.38270355470427
"GSM263148.CEL",7.65606059774774,9.67557463335491
"GSM263149.CEL",7.84899208189185,9.15156916993461
"GSM264761.CEL",9.19576552290279,8.9265861666055
"GSM264762.CEL",9.15356590286138,8.78434710672735
"GSM264763.CEL",8.86930925129564,10.3132552420447
"GSM264764.CEL",9.05623350487578,9.73671129541093
"GSM264765.CEL",9.15013379357399,9.4082606371776
"GSM264766.CEL",8.76564730302303,10.1096155907423
"GSM265411.CEL",9.27720869416234,8.94591559762074
"GSM265412.CEL",9.36905901731724,9.1896830905305
"GSM265413.CEL",9.33717067381841,9.1005801121055
"GSM265414.CEL",7.63597445075775,6.51234687811651
"GSM265415.CEL",8.23127941104659,6.24487677636928
"GSM265416.CEL",8.23931261717499,6.23192714363497
"GSM265418.CEL",8.30711333066285,6.31070998128133
"GSM265419.CEL",8.37411158146019,6.36974520246824
"GSM265420.CEL",8.21933151023993,6.20936423782236
"GSM265421.CEL",8.20056811601003,6.16744576619598
"GSM265422.CEL",8.76217576903889,6.97316089629478
"GSM265423.CEL",8.67456424983317,6.78174423958046
"GSM265424.CEL",8.91859811254424,7.91165629855523
"GSM265425.CEL",9.26267958759959,7.10303751780829
"GSM265426.CEL",8.29917205071324,6.32056988686237
"GSM265427.CEL",8.38143363906688,6.56828564432112
"GSM265428.CEL",8.12804234620899,6.02879581304747
"GSM265429.CEL",8.32722762830873,6.38224288444462
"GSM265430.CEL",8.8256712731144,6.76812184803777
"GSM265431.CEL",8.8339001281261,6.54349245349997
"GSM265432.CEL",9.00544509453506,7.23010266323269
"GSM265433.CEL",9.2786084601482,6.99898355207691
"GSM266662.CEL",7.63960511484098,8.69035898419872
"GSM266663.CEL",7.75441006320782,8.57737156333939
"GSM266664.CEL",7.56718201983098,8.18484544846694
"GSM266665.CEL",8.12766656831969,6.25616065304073
"GSM266666.CEL",8.63689256173891,6.33561803964962
"GSM266667.CEL",8.69666674669587,6.61645561449796
"GSM266668.CEL",8.90400477998997,6.50969083542023
"GSM266669.CEL",8.67346399370867,8.14548212420647
"GSM266670.CEL",8.32975901979908,7.84707235022784
"GSM266671.CEL",8.33686137224555,7.65228093806002
"GSM266672.CEL",8.72866930072908,6.83759335025055
"GSM266673.CEL",8.02550212024043,7.19669763559163
"GSM266674.CEL",8.18239476632587,7.22579656382094
"GSM266675.CEL",8.53878269251898,6.73484512708181
"GSM266676.CEL",7.42804020410429,6.5875265029227
"GSM266677.CEL",8.34343193336676,6.76814555708155
"GSM265461.CEL",8.89093532578514,8.65122169081648
"GSM265462.CEL",9.10228738702342,8.55072421082429
"GSM265463.CEL",8.94679605981032,8.48382248449119
"GSM265464.CEL",9.07462118272101,8.46016946637252
"GSM265465.CEL",8.76877435530703,8.02515489918671
"GSM265466.CEL",9.2977891927594,8.35038912710759
"GSM265467.CEL",8.93777532177634,8.11053915184274
"GSM265468.CEL",9.26356816984103,8.68155462381772
"GSM265469.CEL",8.9939429266689,8.57534389711559
"GSM265470.CEL",8.95323723670207,8.53408190585434
"GSM265471.CEL",9.41063295798678,6.96113963062505
"GSM265472.CEL",9.69036551759342,6.90610881007099
