"","AT3G18990","AT5G10140"
"GSM253153.CEL",7.69282493956412,5.9464716832888
"GSM253154.CEL",7.63398212395146,6.29948450832861
"GSM253155.CEL",7.5454517279604,5.93584137619605
"GSM253156.CEL",7.68228554220479,6.78840242025461
"GSM253157.CEL",7.54941643255157,6.40604365127671
"GSM253158.CEL",7.51163051659057,6.26232414426924
"GSM253159.CEL",7.54945166861116,5.74057794214623
"GSM253160.CEL",7.72674223058183,6.3133198697915
"GSM253161.CEL",7.73562804521171,6.45105844075694
"GSM253162.CEL",7.54515483931739,5.63430883747706
"GSM253163.CEL",8.12763063185868,6.74291713307049
"GSM253164.CEL",8.24851230710507,7.38869803379207
"GSM253165.CEL",8.6237604778014,7.54504315165173
"GSM253166.CEL",8.44332546410065,7.60540617218474
"GSM253193.CEL",8.09383077575215,4.96321729338864
"GSM253194.CEL",8.23152808045746,4.99143034795868
"GSM253195.CEL",8.15953948789773,4.71396538741535
"GSM253196.CEL",8.70749428816986,4.84191883568635
"GSM253197.CEL",8.84517126861386,6.65874653741939
"GSM253198.CEL",8.99150029609836,6.79441183377532
"GSM253199.CEL",8.64862653826181,6.63573127191247
"GSM253200.CEL",8.60953611484626,5.96989936788229
"GSM253201.CEL",8.58710674522955,6.63867044259919
"GSM253645.CEL",6.00775573071505,6.99223268504175
"GSM253646.CEL",6.56369533119512,7.43733623526876
"GSM253647.CEL",6.20209167177668,7.29434397028723
"GSM253648.CEL",6.12516065789126,7.28763356163255
"GSM253649.CEL",6.37715941499819,7.35665675004278
"GSM253650.CEL",6.46864316111308,6.81129409976778
"GSM253651.CEL",6.98958921950349,7.09720460365026
"GSM253652.CEL",6.58823358666261,6.78846331284772
"GSM257998.CEL",7.51063129444895,7.03019991964046
"GSM258000.CEL",7.15914724663602,6.70275406168464
"GSM258001.CEL",7.35002022441491,6.37941906519296
"GSM258002.CEL",7.66605915254699,6.19597832627982
"GSM258003.CEL",7.33391957879151,6.47352640352362
"GSM258004.CEL",7.49956829776145,6.15589978202045
"GSM258792.CEL",8.02292266875481,6.74353916169562
"GSM258793.CEL",8.03417208315967,6.3034410457353
"GSM258794.CEL",8.31567301136158,5.51426389932781
"GSM258795.CEL",8.25474356511643,6.7558128911161
"GSM258796.CEL",8.16788655531588,7.26365329343366
"GSM258797.CEL",8.1223598906033,5.86651475151958
"GSM263141.CEL",8.52318129267828,6.03352682375546
"GSM263142.CEL",8.34493082048226,6.14904108323324
"GSM263143.CEL",8.49208617825732,6.34107238016511
"GSM263144.CEL",8.50301801008235,6.29486289759537
"GSM263145.CEL",8.72112196714538,5.66310801236223
"GSM263146.CEL",8.60033403328209,6.19190036066601
"GSM263147.CEL",8.73966995150659,6.72852791458137
"GSM263148.CEL",8.59574209729102,6.50643979445528
"GSM263149.CEL",8.35942156233014,6.75543890212713
"GSM264761.CEL",7.44668241174661,4.62870540409866
"GSM264762.CEL",7.47772207754827,4.57271752248285
"GSM264763.CEL",7.70092528743736,4.6109391292649
"GSM264764.CEL",7.6406764446458,4.69336210649056
"GSM264765.CEL",7.62002628220479,4.41583937498226
"GSM264766.CEL",7.46688085431354,4.60144754229187
"GSM265411.CEL",9.01975801992024,4.19923981917306
"GSM265412.CEL",9.25406340940811,4.23848618789814
"GSM265413.CEL",9.06332101388475,4.26446201707742
"GSM265414.CEL",8.74335172780216,5.38278389682098
"GSM265415.CEL",8.9327335594206,5.06681022042153
"GSM265416.CEL",8.79226036642541,4.56981126801503
"GSM265418.CEL",8.60887533433582,4.37607785185216
"GSM265419.CEL",8.59406501629398,4.62790826783527
"GSM265420.CEL",8.85296097156218,4.81574298262488
"GSM265421.CEL",8.86989766291398,4.35417980169621
"GSM265422.CEL",9.06569555151358,4.7728948755393
"GSM265423.CEL",9.14197928665729,4.686578233764
"GSM265424.CEL",9.24879207711056,4.59604661982444
"GSM265425.CEL",9.49177744831514,4.40614849560695
"GSM265426.CEL",8.65903178648679,4.75985868242661
"GSM265427.CEL",8.616314937492,4.5558820492618
"GSM265428.CEL",8.90981585947003,4.48283765314014
"GSM265429.CEL",8.80500032397595,4.70852662239563
"GSM265430.CEL",9.22756398650755,4.48666219044364
"GSM265431.CEL",9.33775052939798,4.53604575161571
"GSM265432.CEL",9.23177815753983,4.54398822793039
"GSM265433.CEL",9.53175537396393,4.60610136433041
"GSM266662.CEL",8.30092957252603,4.31867405056698
"GSM266663.CEL",8.42140672880506,4.58230212788484
"GSM266664.CEL",8.27616708161334,4.46825317104953
"GSM266665.CEL",8.100537154121,4.87874801281149
"GSM266666.CEL",8.76912822663946,5.53192896779233
"GSM266667.CEL",8.76602911224482,5.68284112253673
"GSM266668.CEL",8.89602198504215,6.2443447659801
"GSM266669.CEL",9.69229342213177,4.78952757952805
"GSM266670.CEL",9.28510151716973,4.72579673385483
"GSM266671.CEL",9.53027773568285,4.58535172391424
"GSM266672.CEL",9.60662506079158,5.15939654181957
"GSM266673.CEL",9.5934964507573,4.72857274486391
"GSM266674.CEL",9.53654890568893,5.12349241220116
"GSM266675.CEL",9.1263503342227,4.49331007783925
"GSM266676.CEL",8.8630851072971,4.68193615419165
"GSM266677.CEL",9.07038793446488,4.40905111444678
"GSM265461.CEL",9.14969187469445,4.51402868937904
"GSM265462.CEL",9.15180479869428,4.68836784349223
"GSM265463.CEL",9.1497834736689,5.06989520241559
"GSM265464.CEL",8.97283031079093,4.36201924936829
"GSM265465.CEL",9.15271241197896,4.72699049401295
"GSM265466.CEL",9.13834951914268,5.47559398121598
"GSM265467.CEL",9.37879787306224,4.33800083086955
"GSM265468.CEL",9.06611694835853,4.69332653588944
"GSM265469.CEL",9.228031044689,4.96896047543601
"GSM265470.CEL",9.25674199426254,4.47889399015747
"GSM265471.CEL",9.26849056210057,5.43717840033724
"GSM265472.CEL",9.50474805150149,5.12671969561177
"GSM265473.CEL",9.58645123354041,5.45666853985811
"GSM265474.CEL",9.51386917027576,5.63574861385994
"GSM265530.CEL",7.99273609753436,6.7929895935554
"GSM265531.CEL",8.09672518394905,6.11558548106278
"GSM265532.CEL",8.03569971193514,5.81429281419767
"GSM265533.CEL",8.0305708096619,5.68073152053948
